doc_id,term_density,numeric_density,abbreviation_ratio,redundancy_ratio,sentence_length_cv,short_sentence_ratio,long_sentence_ratio,question_ratio,formulaic_open_ratio,avg_word_length
https://doi.org/10.1002/maco.201709712,0.01485148514851485,0.5,0.019801980198019802,0.0,0.48281922139550926,0.0,0.3333333333333333,0.0,0.0,4.816831683168317
https://doi.org/10.1002/maco.201709658,0.03723404255319149,0.3333333333333333,0.05319148936170213,0.005319148936170213,0.30202275673571044,0.0,0.3333333333333333,0.0,0.0,5.829787234042553
https://doi.org/10.1002/maco.201609389,0.028846153846153848,0.2,0.0,0.009615384615384616,0.3091910613617986,0.0,0.0,0.0,0.2,5.769230769230769
https://doi.org/10.1002/maco.201709637,0.03333333333333333,0.0,0.05,0.0,0.49413223601245315,0.0,0.16666666666666666,0.0,0.16666666666666666,5.808333333333334
https://doi.org/10.1002/maco.201609387,0.061224489795918366,0.0,0.0,0.0,0.32525260103080056,0.0,0.0,0.0,0.0,7.061224489795919
https://doi.org/10.1002/maco.201709513,0.018018018018018018,0.6,0.0,0.009009009009009009,0.2177125400647671,0.0,0.0,0.0,0.0,4.63963963963964
https://doi.org/10.1002/maco.201609414,0.011764705882352941,0.3333333333333333,0.08235294117647059,0.0058823529411764705,0.31742911913487154,0.0,0.3333333333333333,0.0,0.16666666666666666,5.364705882352941
https://doi.org/10.1002/maco.201709604,0.022727272727272728,0.8333333333333334,0.0,0.0,0.28020063649858984,0.0,0.0,0.0,0.0,6.5227272727272725
https://doi.org/10.1002/maco.201609406,0.049586776859504134,0.0,0.049586776859504134,0.008264462809917356,0.4270416754632666,0.0,0.0,0.0,0.14285714285714285,6.074380165289257
https://doi.org/10.1002/maco.201709522,0.024096385542168676,0.0,0.024096385542168676,0.0,0.5908530041079145,0.0,0.16666666666666666,0.0,0.16666666666666666,5.734939759036145
https://doi.org/10.1002/maco.201609265,0.009523809523809525,0.42857142857142855,0.08571428571428572,0.009523809523809525,0.3251373336211726,0.0,0.14285714285714285,0.0,0.0,5.109523809523809
https://doi.org/10.1002/maco.201709469,0.0196078431372549,1.0,0.0,0.0,0.1595628185063229,0.0,0.2,0.0,0.0,6.137254901960785
https://doi.org/10.1002/maco.201709555,0.06153846153846154,0.3333333333333333,0.015384615384615385,0.015384615384615385,0.3367087481267583,0.16666666666666666,0.0,0.0,0.0,5.153846153846154
https://doi.org/10.1002/maco.201709753,0.033783783783783786,0.0,0.006756756756756757,0.0,0.5912065636277665,0.0,0.4,0.0,0.0,5.6891891891891895
