doc_id,past_tense_ratio,present_tense_ratio,passive_ratio,stance_verb_ratio,mental_verb_ratio,modal_possibility_ratio,modal_prediction_ratio,relative_clause_ratio,communication_verb_ratio,suasive_verb_ratio,noun_modifier_ratio,abstract_noun_ratio,nominalization_ratio,human_noun_ratio,word_length
https://doi.org/10.5006/1955,0.0423728813559322,0.03389830508474576,0.0423728813559322,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.059322033898305086,0.0423728813559322,0.07627118644067797,0.00847457627118644,5.601694915254237
https://doi.org/10.5006/1940,0.038461538461538464,0.02403846153846154,0.038461538461538464,0.0,0.004807692307692308,0.004807692307692308,0.004807692307692308,0.014423076923076924,0.014423076923076924,0.004807692307692308,0.11057692307692307,0.03365384615384615,0.13942307692307693,0.004807692307692308,5.793269230769231
https://doi.org/10.5006/1957,0.004098360655737705,0.03278688524590164,0.028688524590163935,0.00819672131147541,0.01639344262295082,0.004098360655737705,0.00819672131147541,0.004098360655737705,0.012295081967213115,0.00819672131147541,0.0778688524590164,0.02459016393442623,0.11885245901639344,0.00819672131147541,5.077868852459017
https://doi.org/10.5006/2136,0.029288702928870293,0.008368200836820083,0.016736401673640166,0.0041841004184100415,0.0,0.0,0.0,0.0,0.008368200836820083,0.0041841004184100415,0.08368200836820083,0.0502092050209205,0.12133891213389121,0.0041841004184100415,5.426778242677824
https://doi.org/10.5006/2142,0.031746031746031744,0.027777777777777776,0.011904761904761904,0.011904761904761904,0.0,0.0,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.07936507936507936,0.023809523809523808,0.13095238095238096,0.003968253968253968,5.400793650793651
https://doi.org/10.5006/1944,0.019704433497536946,0.04433497536945813,0.014778325123152709,0.0049261083743842365,0.014778325123152709,0.014778325123152709,0.014778325123152709,0.014778325123152709,0.014778325123152709,0.009852216748768473,0.07389162561576355,0.04926108374384237,0.12807881773399016,0.0049261083743842365,5.862068965517241
https://doi.org/10.5006/2033,0.009174311926605505,0.045871559633027525,0.01834862385321101,0.0,0.009174311926605505,0.0045871559633027525,0.009174311926605505,0.009174311926605505,0.0045871559633027525,0.0,0.06880733944954129,0.01834862385321101,0.11467889908256881,0.0045871559633027525,5.431192660550459
https://doi.org/10.5006/2035,0.0,0.06153846153846154,0.03076923076923077,0.0,0.007692307692307693,0.0,0.0,0.0,0.015384615384615385,0.0,0.08461538461538462,0.03076923076923077,0.1076923076923077,0.007692307692307693,5.438461538461539
https://doi.org/10.5006/2013,0.03571428571428571,0.01984126984126984,0.023809523809523808,0.003968253968253968,0.007936507936507936,0.007936507936507936,0.0,0.011904761904761904,0.003968253968253968,0.007936507936507936,0.1111111111111111,0.03968253968253968,0.10714285714285714,0.007936507936507936,5.2103174603174605
https://doi.org/10.5006/2039,0.0,0.05128205128205128,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.0,0.0,0.0,0.017094017094017096,0.0,0.03418803418803419,0.017094017094017096,0.10256410256410256,0.008547008547008548,5.05982905982906
https://doi.org/10.5006/2132,0.052083333333333336,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.125,0.041666666666666664,0.16666666666666666,0.010416666666666666,5.9375
https://doi.org/10.5006/2049,0.06493506493506493,0.0,0.01948051948051948,0.0,0.0,0.012987012987012988,0.006493506493506494,0.0,0.0,0.0,0.05844155844155844,0.025974025974025976,0.09090909090909091,0.006493506493506494,5.35064935064935
https://doi.org/10.5006/2108,0.041237113402061855,0.020618556701030927,0.041237113402061855,0.0,0.010309278350515464,0.005154639175257732,0.0,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.18041237113402062,0.03608247422680412,0.13402061855670103,0.010309278350515464,6.046391752577319
https://doi.org/10.5006/2213,0.00398406374501992,0.043824701195219126,0.02390438247011952,0.0,0.0,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.00796812749003984,0.00398406374501992,0.08366533864541832,0.027888446215139442,0.18725099601593626,0.0,5.697211155378486
https://doi.org/10.5006/2252,0.06481481481481481,0.0,0.037037037037037035,0.018518518518518517,0.009259259259259259,0.0,0.0,0.0,0.009259259259259259,0.0,0.09259259259259259,0.046296296296296294,0.12037037037037036,0.018518518518518517,5.962962962962963
https://doi.org/10.5006/1884,0.07563025210084033,0.0,0.008403361344537815,0.01680672268907563,0.0,0.0,0.0,0.0,0.01680672268907563,0.0,0.1092436974789916,0.05042016806722689,0.15126050420168066,0.008403361344537815,5.823529411764706
https://doi.org/10.5006/2212,0.0,0.056338028169014086,0.014084507042253521,0.007042253521126761,0.0,0.0,0.0,0.0,0.028169014084507043,0.014084507042253521,0.09154929577464789,0.04225352112676056,0.14788732394366197,0.014084507042253521,5.598591549295775
https://doi.org/10.5006/2063,0.058823529411764705,0.0,0.03361344537815126,0.0,0.008403361344537815,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.13445378151260504,0.06722689075630252,0.18487394957983194,0.008403361344537815,5.848739495798319
https://doi.org/10.5006/2086,0.04807692307692308,0.0,0.038461538461538464,0.0,0.0,0.009615384615384616,0.0,0.0,0.009615384615384616,0.0,0.1346153846153846,0.028846153846153848,0.11538461538461539,0.019230769230769232,5.5576923076923075
https://doi.org/10.5006/2233,0.032,0.016,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.008,0.136,0.008,5.832
