Dim1,Dim2,Dim3,Dim4,NCC,citations,cluster
-1.1516219575229318,1.2561324662731532,0.2259469861154084,0.4439365027125643,0.3810375670840787,6,0
-0.4249151799640058,0.8747673604936346,-0.3392818759525038,0.7041704001764755,0.3175313059033989,5,0
0.634783386669566,1.8440508321401008,0.3972012503772081,2.244143137874103,0.3175313059033989,5,0
-0.4383469420286091,-0.753286473626576,-0.5631883976379287,0.2558150492668599,0.3175313059033989,5,1
0.113639933694833,0.3958859868086901,0.7718811316582795,2.027884576833716,0.2540250447227191,4,0
-1.324471303330209,0.9501786872539202,1.8064574662313309,0.6641268543699453,0.3175313059033989,5,0
-0.4682116646538865,0.5935623733086933,-1.0813289739924792,-0.3411761388727742,0.1905187835420393,3,1
-1.626050155167906,0.7011119627809264,-0.2246644368923173,-0.403694036668852,0.1905187835420393,3,1
1.386047274398744,0.2607729872793832,-0.7003864439543382,-0.7781446390780494,0.1270125223613595,2,1
1.101827169306673,-0.189967551216753,1.718345332304237,1.1046762039397136,0.1270125223613595,2,0
-1.6935000845915638,-1.3167813267646826,2.6112756076623875,-0.1281377051673974,0.1270125223613595,2,0
-2.5516648732543428,2.103465716160516,-0.385325415819256,-0.5864906669259691,0.0635062611806797,1,1
1.4504300007494402,-0.7520134560439456,0.1947024804460644,-0.777060404439366,0.0635062611806797,1,1
-0.1873990962835592,-0.2867225316851286,-0.7559629131020192,0.5252186433681139,0.0635062611806797,1,1
-0.0457867723707571,-0.5142315693692786,-0.4298971793060259,-0.4783198746198704,0.0635062611806797,1,1
-1.752486779867278,1.3390951505152726,0.0111696826720698,-0.6550616169503286,0.0,0,1
-1.8818862043083264,1.5345705209552194,-1.3850430744125068,-1.476617363825213,0.0,0,1
-0.3119770478054077,0.6025152836464582,-0.6864302879861999,-0.8072693892760104,0.0,0,1
0.7952826541748285,0.6346088980755219,1.350806191815413,1.6761648256590715,3.4416826003824093,225,0
-1.1666958377177654,-0.9315382715577952,-0.9760199661945584,-0.567674310227109,2.416826003824092,158,1
-0.0897994946424908,0.0075932455030075,-0.5125652617615556,-0.3636140364500295,1.6978967495219883,111,1
1.129205816270174,-1.5482110712960475,0.0202755523716029,0.4318058378715745,0.948374760994264,62,0
1.742718023428547,0.2241822850506358,-0.7137197275152336,-0.8666285499422083,1.1166347992351815,73,1
0.6705147754783661,-0.868430545100295,0.4602850225709964,-0.890338548784379,1.08604206500956,71,1
-1.368208200277361,1.449143702512916,1.5257253019548638,-0.0604231158093902,0.994263862332696,65,0
0.370849204897007,1.890766594415944,-0.4100014668155562,0.0211575679043266,0.8413001912045889,55,1
0.9452133306909068,-0.9734209504709246,1.985528883367046,-0.9269975721016872,0.7036328871892925,46,0
-0.9257694837619792,-0.0771846331704115,1.3801711097729663,-0.854369545256291,0.5965583173996176,39,1
-1.2595857968239974,1.272349036610283,-1.268902411920541,-0.7061412356354511,0.4588910133843212,30,1
0.2499367026312084,0.6778454620334224,-0.0783458002014777,-0.1213167752338483,0.3518164435946462,23,1
-1.5592599736743484,-0.2108567482229003,0.5114694564965778,0.4505001352900032,0.3059273422562141,20,0
-0.9858487138846604,1.2894690407835838,-0.0084808814855452,-1.3685871514458126,0.5047801147227533,33,1
-0.7094519840075155,1.776695523000466,1.1629697185261232,2.113897178061396,0.3518164435946462,23,0
-0.829955812034847,-1.5465533549930324,-0.4063912836789211,-0.603654206047868,0.1835564053537285,12,1
0.0172653221806367,-1.5057108560043744,-0.9517192603938904,-1.1687203973679414,5.52219074598678,86,1
0.2373048388869688,1.5586774193116546,0.2788934743403473,-1.2417601231262665,4.430594900849858,69,1
1.811136084189678,-0.6497531402485869,1.2440249491478232,1.5910739085477896,4.302171860245514,67,0
-0.3260999578920115,-0.5706794611435065,-1.4753351891385134,1.2041068609564065,3.146364494806421,49,1
0.0948776348479906,-2.3897851582507115,-0.0623585548673775,-0.0025737477664841,3.082152974504249,48,1
0.4688483565280753,0.5845022228278067,0.1563743218017485,0.6187656377512348,3.082152974504249,48,0
1.3056658786365287,-1.3695563637724122,-0.9764184839675716,0.917484825034414,2.953729933899905,46,1
-1.1674809573642184,1.6644034243930848,0.17444920901199,2.0488663711546,2.696883852691218,42,0
0.0271105208591905,-1.3119428570150191,-0.9765659738181124,-0.1043073829075552,2.5042492917847023,39,1
1.980454958617811,-0.6480757424815676,-0.8269586382302826,-1.1226606138562634,2.3758262511803587,37,1
1.3773437241069335,0.6519659806555506,-1.133109309303489,-0.8338587818407025,2.311614730878187,36,1
0.6420339220432199,0.1355404525375014,1.4403273086052286,1.895728154607526,2.247403210576015,35,0
-0.7931814532011715,0.6353222676359348,-0.8594514907761354,-1.9885646034143012,2.1831916902738437,34,1
-0.8930713473071381,0.9858161049672322,1.0675953839294257,0.9189765894184344,2.0547686496694992,32,0
-0.5229027721341621,-0.9645515241599296,-0.506226341146918,0.1925890088175139,1.990557129367328,31,1
-0.176759674690394,-1.1030946658027712,0.102565988364877,-0.6311921449507233,1.990557129367328,31,1
-1.4902247048097674,-0.2561590172596847,-0.1610580880235545,0.0165903911516313,1.926345609065156,30,1
-0.3395058402779167,1.417273363486209,-0.7821101884186618,1.2078659864718104,1.797922568460812,28,0
-0.8943116207421856,0.8142854388589593,-0.2115790156926357,1.215766254607416,1.797922568460812,28,0
